acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.399,['Pop Smoke'  'PnB Rock'],0.61,190840,0.61,1,7knEYd7b0UcbjgChHX7QBq,0,5,0.203,-5.981,0,Like Me (with PnB Rock),67,2/12/2020,0.406,120.47,0.555,2020
0.396,['Anuel AA'  'Tego Calderon'],0.863,231745,0.728,1,7KKh0ujp8agIiCrkiJhf81,9.14E-06,7,0.0902,-2.954,1,Jangueo,80,5/29/2020,0.0586,93.035,0.649,2020
0.0119,['Thomas Rhett'  'Kane Brown'  'Ava Max'],0.548,164683,0.721,0,7k6tAZp4m93oswrPqSfBbc,0,8,0.216,-4.466,1,On Me (feat. Ava Max),78,5/15/2020,0.0472,177.918,0.594,2020
0.115,['YoungBoy Never Broke Again'],0.651,184932,0.788,1,7jx8tZVzfOAYK6bwP1mwqN,0,8,0.0878,-4.561,0,Diamonds,66,4/24/2020,0.253,93.364,0.589,2020
0.991,['Stephan Moccio'],0.215,195240,0.0223,0,7JVjcxfs9CG6Ozlmibdrkl,0.922,7,0.105,-28.528,0,Whitby,68,5/1/2020,0.0432,166.528,0.253,2020
0.021,['Lady Gaga'  'Ariana Grande'],0.672,182200,0.855,0,7ju97lgwC2rKQ6wwsf9no9,0,9,0.323,-3.764,1,Rain On Me (with Ariana Grande),87,5/29/2020,0.0397,123.056,0.646,2020
0.382,['THE SCOTTS'  'Travis Scott'  'Kid Cudi'],0.697,165978,0.505,0,7JSL1X95BlGnDyXAScKolp,0,0,0.161,-7.698,0,THE SCOTTS,74,4/23/2020,0.0527,129.907,0.325,2020
0.227,['Ben Platt'],0.629,187535,0.517,0,7jnHuJ0HDcAYt7Anv77h4X,0,10,0.148,-6.512,1,Everything I Did to Get to You (from Songland),58,6/8/2020,0.0977,93.272,0.255,2020
0.513,['YoungBoy Never Broke Again'],0.723,149290,0.723,1,7jbsiLaF8d3JmePMsOjFiX,0,0,0.112,-4.15,0,Treat You Better,62,4/24/2020,0.169,82.85,0.354,2020
0.297,['MASN'  'Trippie Redd'],0.871,158719,0.525,0,7j0He3HOaCTWLG7IRQr33p,0,7,0.184,-4.957,1,Psycho! (Remix) (feat. Trippie Redd),73,4/14/2020,0.0512,115.01,0.547,2020
0.995,['Claribel RamÃ³n'],0.309,155500,0.085,0,7iw3S9vmaQYrdp9fUh4gzC,0.964,5,0.0897,-23.526,1,Con el tiempo todo se consigue,69,4/17/2020,0.0691,205.094,0.206,2020
0.0587,['Juanes'],0.616,216653,0.688,0,7IQaguO0Rsl5EL67KEMNe5,0,6,0.321,-4.91,1,Volverte A Ver,0,6/5/2020,0.0302,84.977,0.745,2020
0.00716,['Tenille Townes'],0.6,195187,0.742,0,7IN4uBTZZK2KJ4tjBL44xU,0,6,0.363,-4.135,1,Holding Out for the One,70,2/7/2020,0.0379,85.008,0.796,2020
0.0808,['NAV'  'Gunna'  'Travis Scott'],0.894,161320,0.618,1,7IMwEtpAiJanqF6vQteZN2,0,7,0.558,-4.356,0,Turks (with Gunna & ft. Travis Scott),73,5/8/2020,0.129,119.1,0.379,2020
0.104,['A$AP Ferg'],0.766,167158,0.901,1,7im3jaJBEYivH5JKXMh1Yy,7.15E-06,1,0.0924,-2.764,1,Value,64,1/29/2020,0.128,129.993,0.215,2020
0.0814,['Lil Nas X'  'Nas'],0.65,145222,0.637,1,7ikRId3U9AXd6tfF2fbItC,0.000607,9,0.51,-6.195,1,Rodeo - feat. Nas,72,1/27/2020,0.0369,140.115,0.575,2020
0.373,['AminÃ©'],0.467,133995,0.879,1,7iG6aXHLFg9tBzP6OIyuJa,0,5,0.274,-4.372,0,Shimmy,67,2/26/2020,0.483,172.783,0.795,2020
0.471,['Pop Smoke'  'A Boogie Wit da Hoodie'],0.484,161120,0.553,1,7iBKCNKl5UjxfOgyxnQ6q6,0,10,0.276,-7.914,0,Foreigner (feat. A Boogie Wit da Hoodie),72,2/12/2020,0.353,103.772,0.598,2020
0.267,['deadman æ­»äºº'  'Shibayan'  'Tiny Little Adiantum'],0.739,113580,0.641,0,7hY1S4SKti3cGz0rGYmT5A,0.803,0,0.103,-12.376,1,Omae Wa Mou - Tiny Little Adiantum Remix,70,2/21/2020,0.0538,93.007,0.713,2020
0.358,['The 1975'],0.601,253050,0.812,1,7hspRf0CvDgevONnnJvK5X,0.859,2,0.11,-10.774,1,Yeah I Know,65,5/22/2020,0.0504,139.953,0.418,2020
0.208,['Selena Gomez'],0.838,220590,0.545,0,7HMmFQsKsljwTw8bS7lu19,8.01E-05,5,0.103,-6.713,1,Rare,78,1/10/2020,0.0706,114.998,0.631,2020
